theta_deg,period_px,anchor,quant_rule,source,shift_frac,levels_used,eta_grating,eta_free_anchor,eta_legacy,eta_envelope,order_split,eta_total,steer_deg,nyquist_ok,alias_period_px,alias_reversed
135,2.00,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743081,0.743081,0.743081,0.423496,1,0.314692,2.4013,1,2.0000,0
315,2.00,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743081,0.743081,0.743806,0.423496,1,0.314692,2.4013,1,2.0000,0
135,2.10,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.742873,0.742873,0.742873,0.460249,1,0.341907,2.2869,1,2.1000,0
315,2.10,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.742873,0.742873,0.744115,0.460249,1,0.341907,2.2869,1,2.1000,0
135,2.20,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.742167,0.742167,0.742167,0.494382,1,0.366914,2.1829,1,2.2000,0
315,2.20,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.742167,0.742167,0.741760,0.494382,1,0.366914,2.1829,1,2.2000,0
135,2.30,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743787,0.743787,0.743787,0.525990,1,0.391224,2.0879,1,2.3000,0
315,2.30,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743787,0.743787,0.743045,0.525990,1,0.391224,2.0879,1,2.3000,0
135,2.40,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743001,0.743001,0.743001,0.555205,1,0.412518,2.0009,1,2.4000,0
315,2.40,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743001,0.743001,0.743863,0.555205,1,0.412518,2.0009,1,2.4000,0
135,2.50,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743629,0.743629,0.743629,0.582183,1,0.432928,1.9208,1,2.5000,0
315,2.50,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743629,0.743629,0.743129,0.582183,1,0.432928,1.9208,1,2.5000,0
135,2.60,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743424,0.743424,0.743424,0.607083,1,0.451320,1.8469,1,2.6000,0
315,2.60,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743424,0.743424,0.743221,0.607083,1,0.451320,1.8469,1,2.6000,0
135,2.70,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743161,0.743161,0.743161,0.630067,1,0.468241,1.7785,1,2.7000,0
315,2.70,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743161,0.743161,0.744432,0.630067,1,0.468241,1.7785,1,2.7000,0
135,2.80,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.742830,0.742830,0.742830,0.651290,1,0.483798,1.7150,1,2.8000,0
315,2.80,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.742830,0.742830,0.744042,0.651290,1,0.483798,1.7150,1,2.8000,0
135,2.90,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743699,0.743699,0.743699,0.670900,1,0.498948,1.6558,1,2.9000,0
315,2.90,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.743699,0.743699,0.743360,0.670900,1,0.498948,1.6558,1,2.9000,0
135,3.00,free,lut,computed,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.742847,0.742847,0.742847,0.689034,1,0.511847,1.6006,1,3.0000,0
315,3.00,free,lut,rot180,0.000000,P0|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.742847,0.742847,0.744032,0.689034,1,0.511847,1.6006,1,3.0000,0
